nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
400,1.67E-08,5.14E-08,2.42E-08,6.39E-08,1.7664E-08,1.57141E-08,5.277E-08,4.996E-08
401,1.72E-08,5.21E-08,2.49E-08,6.51E-08,1.82035E-08,1.60989E-08,5.318E-08,5.098E-08
402,1.76E-08,5.27E-08,2.54E-08,6.63E-08,1.86383E-08,1.64871E-08,5.329E-08,5.214E-08
403,1.80E-08,5.41E-08,2.61E-08,6.72E-08,1.91996E-08,1.67089E-08,5.437E-08,5.386E-08
404,1.83E-08,5.54E-08,2.66E-08,6.84E-08,1.94722E-08,1.71652E-08,5.605E-08,5.471E-08
405,1.90E-08,5.65E-08,2.74E-08,6.98E-08,2.0338E-08,1.76275E-08,5.716E-08,5.591E-08
406,1.95E-08,5.84E-08,2.82E-08,7.14E-08,2.09874E-08,1.80728E-08,5.972E-08,5.704E-08
407,1.99E-08,5.89E-08,2.90E-08,7.29E-08,2.15155E-08,1.82597E-08,6.023E-08,5.752E-08
408,2.03E-08,6.02E-08,2.98E-08,7.51E-08,2.19298E-08,1.86923E-08,6.067E-08,5.969E-08
409,2.10E-08,6.20E-08,3.05E-08,7.73E-08,2.2882E-08,1.9124E-08,6.277E-08,6.114E-08
410,2.15E-08,6.34E-08,3.14E-08,7.91E-08,2.33526E-08,1.97296E-08,6.459E-08,6.227E-08
411,2.20E-08,6.48E-08,3.19E-08,8.16E-08,2.39709E-08,2.01162E-08,6.632E-08,6.320E-08
412,2.25E-08,6.65E-08,3.24E-08,8.29E-08,2.43852E-08,2.0621E-08,6.935E-08,6.369E-08
413,2.30E-08,6.80E-08,3.27E-08,8.40E-08,2.49412E-08,2.1108E-08,7.187E-08,6.405E-08
414,2.35E-08,6.93E-08,3.31E-08,8.42E-08,2.52969E-08,2.17103E-08,7.382E-08,6.474E-08
415,2.38E-08,7.03E-08,3.33E-08,8.42E-08,2.56196E-08,2.19872E-08,7.487E-08,6.572E-08
416,2.41E-08,7.09E-08,3.36E-08,8.41E-08,2.57219E-08,2.25441E-08,7.582E-08,6.603E-08
417,2.45E-08,7.16E-08,3.38E-08,8.43E-08,2.61248E-08,2.28872E-08,7.615E-08,6.701E-08
418,2.47E-08,7.29E-08,3.39E-08,8.40E-08,2.60873E-08,2.34071E-08,7.791E-08,6.782E-08
419,2.50E-08,7.32E-08,3.43E-08,8.44E-08,2.63994E-08,2.36269E-08,7.815E-08,6.827E-08
420,2.54E-08,7.37E-08,3.45E-08,8.47E-08,2.67336E-08,2.41252E-08,7.806E-08,6.938E-08
421,2.58E-08,7.47E-08,3.51E-08,8.45E-08,2.72121E-08,2.44792E-08,7.835E-08,7.112E-08
422,2.62E-08,7.51E-08,3.57E-08,8.56E-08,2.74769E-08,2.49078E-08,7.855E-08,7.157E-08
423,2.64E-08,7.53E-08,3.64E-08,8.58E-08,2.78395E-08,2.50277E-08,7.728E-08,7.341E-08
424,2.68E-08,7.62E-08,3.69E-08,8.69E-08,2.83492E-08,2.51781E-08,7.631E-08,7.610E-08
425,2.73E-08,7.68E-08,3.77E-08,8.76E-08,2.91926E-08,2.53463E-08,7.888E-08,7.480E-08
426,2.76E-08,7.71E-08,3.83E-08,8.89E-08,2.94511E-08,2.58232E-08,7.930E-08,7.483E-08
427,2.80E-08,7.74E-08,3.90E-08,8.99E-08,2.9797E-08,2.61158E-08,8.106E-08,7.375E-08
428,2.83E-08,7.90E-08,3.96E-08,9.11E-08,3.01057E-08,2.6431E-08,8.420E-08,7.390E-08
429,2.89E-08,8.06E-08,4.00E-08,9.18E-08,3.09074E-08,2.68838E-08,8.549E-08,7.576E-08
430,2.91E-08,8.23E-08,4.04E-08,9.29E-08,3.12499E-08,2.69522E-08,8.840E-08,7.613E-08
431,2.95E-08,8.31E-08,4.09E-08,9.46E-08,3.15787E-08,2.73293E-08,8.899E-08,7.715E-08
432,2.97E-08,8.48E-08,4.15E-08,9.61E-08,3.17192E-08,2.7765E-08,8.970E-08,7.996E-08
433,3.03E-08,8.62E-08,4.18E-08,9.81E-08,3.22093E-08,2.83635E-08,8.931E-08,8.303E-08
434,3.07E-08,8.65E-08,4.20E-08,1.00E-07,3.2508E-08,2.89305E-08,9.101E-08,8.204E-08
435,3.11E-08,8.73E-08,4.23E-08,1.02E-07,3.30085E-08,2.91892E-08,9.267E-08,8.194E-08
436,3.15E-08,8.85E-08,4.28E-08,1.03E-07,3.34454E-08,2.95405E-08,9.359E-08,8.349E-08
437,3.18E-08,9.01E-08,4.32E-08,1.05E-07,3.38727E-08,2.9694E-08,9.512E-08,8.500E-08
438,3.19E-08,9.01E-08,4.33E-08,1.06E-07,3.39384E-08,2.98833E-08,9.457E-08,8.560E-08
439,3.19E-08,8.97E-08,4.34E-08,1.06E-07,3.41924E-08,2.96615E-08,9.282E-08,8.649E-08
440,3.18E-08,8.93E-08,4.33E-08,1.05E-07,3.41425E-08,2.94041E-08,9.188E-08,8.675E-08
441,3.16E-08,8.81E-08,4.34E-08,1.04E-07,3.40394E-08,2.9159E-08,9.058E-08,8.569E-08
442,3.14E-08,8.66E-08,4.28E-08,1.03E-07,3.3524E-08,2.92438E-08,8.907E-08,8.408E-08
443,3.09E-08,8.52E-08,4.23E-08,1.01E-07,3.31155E-08,2.8674E-08,8.950E-08,8.086E-08
444,3.04E-08,8.46E-08,4.16E-08,9.87E-08,3.25952E-08,2.82517E-08,8.879E-08,8.036E-08
445,2.98E-08,8.37E-08,4.09E-08,9.65E-08,3.19823E-08,2.76648E-08,8.748E-08,7.993E-08
446,2.90E-08,8.26E-08,3.98E-08,9.46E-08,3.10494E-08,2.68584E-08,8.763E-08,7.755E-08
447,2.83E-08,8.10E-08,3.89E-08,9.30E-08,3.00893E-08,2.6506E-08,8.430E-08,7.771E-08
448,2.76E-08,8.01E-08,3.78E-08,9.04E-08,2.91637E-08,2.5939E-08,8.195E-08,7.818E-08
449,2.70E-08,7.81E-08,3.67E-08,8.89E-08,2.84025E-08,2.56675E-08,8.028E-08,7.594E-08
450,2.64E-08,7.65E-08,3.61E-08,8.74E-08,2.75906E-08,2.5206E-08,8.054E-08,7.238E-08
451,2.58E-08,7.62E-08,3.55E-08,8.64E-08,2.70106E-08,2.45749E-08,8.046E-08,7.195E-08
452,2.53E-08,7.52E-08,3.52E-08,8.56E-08,2.64913E-08,2.41519E-08,7.939E-08,7.103E-08
453,2.49E-08,7.40E-08,3.46E-08,8.46E-08,2.61681E-08,2.35914E-08,7.821E-08,6.984E-08
454,2.44E-08,7.36E-08,3.42E-08,8.38E-08,2.58094E-08,2.30643E-08,7.703E-08,7.016E-08
455,2.41E-08,7.26E-08,3.39E-08,8.27E-08,2.55657E-08,2.26367E-08,7.591E-08,6.935E-08
456,2.37E-08,7.24E-08,3.39E-08,8.13E-08,2.51122E-08,2.23336E-08,7.507E-08,6.982E-08
457,2.34E-08,7.11E-08,3.36E-08,8.07E-08,2.49034E-08,2.19101E-08,7.287E-08,6.943E-08
458,2.32E-08,7.06E-08,3.32E-08,7.93E-08,2.46338E-08,2.17769E-08,7.121E-08,7.000E-08
459,2.29E-08,6.95E-08,3.28E-08,7.83E-08,2.44271E-08,2.14426E-08,7.089E-08,6.817E-08
460,2.27E-08,6.86E-08,3.23E-08,7.78E-08,2.41676E-08,2.11611E-08,7.091E-08,6.634E-08
461,2.23E-08,6.80E-08,3.18E-08,7.71E-08,2.37361E-08,2.08648E-08,7.056E-08,6.550E-08
462,2.20E-08,6.70E-08,3.12E-08,7.62E-08,2.34577E-08,2.06009E-08,6.890E-08,6.503E-08
463,2.16E-08,6.62E-08,3.08E-08,7.56E-08,2.28473E-08,2.03694E-08,6.804E-08,6.436E-08
464,2.13E-08,6.57E-08,3.03E-08,7.47E-08,2.25522E-08,1.99778E-08,6.651E-08,6.489E-08
465,2.09E-08,6.45E-08,3.00E-08,7.46E-08,2.21413E-08,1.97518E-08,6.492E-08,6.411E-08
466,2.07E-08,6.34E-08,2.97E-08,7.42E-08,2.1917E-08,1.94204E-08,6.434E-08,6.247E-08
467,2.03E-08,6.22E-08,2.94E-08,7.40E-08,2.16483E-08,1.90285E-08,6.352E-08,6.089E-08
468,2.00E-08,6.06E-08,2.89E-08,7.33E-08,2.11727E-08,1.8737E-08,6.268E-08,5.857E-08
469,1.96E-08,5.91E-08,2.84E-08,7.24E-08,2.07295E-08,1.84028E-08,6.151E-08,5.677E-08
470,1.92E-08,5.89E-08,2.78E-08,7.13E-08,2.0399E-08,1.80639E-08,6.163E-08,5.609E-08
471,1.88E-08,5.75E-08,2.72E-08,6.97E-08,1.98425E-08,1.78213E-08,6.050E-08,5.459E-08
472,1.84E-08,5.64E-08,2.69E-08,6.81E-08,1.94172E-08,1.7446E-08,5.960E-08,5.327E-08
473,1.82E-08,5.47E-08,2.63E-08,6.68E-08,1.93034E-08,1.71386E-08,5.813E-08,5.125E-08
474,1.80E-08,5.37E-08,2.57E-08,6.54E-08,1.89916E-08,1.69865E-08,5.761E-08,4.980E-08
475,1.78E-08,5.20E-08,2.51E-08,6.40E-08,1.87348E-08,1.67911E-08,5.503E-08,4.899E-08
476,1.75E-08,5.09E-08,2.47E-08,6.25E-08,1.84503E-08,1.64769E-08,5.396E-08,4.784E-08
477,1.73E-08,5.02E-08,2.42E-08,6.10E-08,1.83003E-08,1.62789E-08,5.328E-08,4.718E-08
478,1.71E-08,4.94E-08,2.39E-08,5.97E-08,1.80756E-08,1.60706E-08,5.158E-08,4.718E-08
479,1.69E-08,4.90E-08,2.35E-08,5.84E-08,1.78482E-08,1.58887E-08,5.067E-08,4.724E-08
480,1.68E-08,4.89E-08,2.32E-08,5.71E-08,1.77533E-08,1.57689E-08,5.088E-08,4.689E-08
481,1.67E-08,4.83E-08,2.31E-08,5.61E-08,1.76629E-08,1.56428E-08,5.003E-08,4.664E-08
482,1.66E-08,4.82E-08,2.31E-08,5.51E-08,1.75725E-08,1.5625E-08,4.972E-08,4.659E-08
483,1.65E-08,4.80E-08,2.31E-08,5.46E-08,1.74871E-08,1.56066E-08,4.954E-08,4.640E-08
484,1.65E-08,4.78E-08,2.31E-08,5.42E-08,1.74545E-08,1.56184E-08,4.933E-08,4.621E-08
485,1.65E-08,4.77E-08,2.31E-08,5.39E-08,1.7481E-08,1.56106E-08,4.921E-08,4.617E-08
486,1.66E-08,4.79E-08,2.30E-08,5.38E-08,1.74625E-08,1.56528E-08,4.937E-08,4.637E-08
487,1.65E-08,4.80E-08,2.31E-08,5.35E-08,1.74202E-08,1.56773E-08,4.924E-08,4.675E-08
488,1.66E-08,4.78E-08,2.34E-08,5.35E-08,1.76117E-08,1.56719E-08,4.905E-08,4.650E-08
489,1.68E-08,4.77E-08,2.35E-08,5.35E-08,1.7817E-08,1.58319E-08,4.866E-08,4.667E-08
490,1.69E-08,4.78E-08,2.36E-08,5.40E-08,1.78474E-08,1.59369E-08,4.897E-08,4.658E-08
491,1.69E-08,4.74E-08,2.35E-08,5.41E-08,1.77865E-08,1.59985E-08,4.857E-08,4.618E-08
492,1.69E-08,4.73E-08,2.37E-08,5.42E-08,1.7752E-08,1.60215E-08,4.878E-08,4.583E-08
493,1.68E-08,4.71E-08,2.35E-08,5.45E-08,1.75647E-08,1.6035E-08,4.851E-08,4.563E-08
494,1.67E-08,4.67E-08,2.33E-08,5.43E-08,1.75192E-08,1.58417E-08,4.779E-08,4.553E-08
495,1.66E-08,4.66E-08,2.31E-08,5.45E-08,1.75138E-08,1.56982E-08,4.746E-08,4.583E-08
496,1.64E-08,4.69E-08,2.27E-08,5.44E-08,1.73644E-08,1.55077E-08,4.746E-08,4.634E-08
497,1.63E-08,4.72E-08,2.24E-08,5.45E-08,1.72204E-08,1.53208E-08,4.768E-08,4.677E-08
498,1.61E-08,4.72E-08,2.20E-08,5.39E-08,1.71333E-08,1.51072E-08,4.848E-08,4.597E-08
499,1.59E-08,4.71E-08,2.15E-08,5.37E-08,1.69645E-08,1.48011E-08,4.842E-08,4.584E-08
500,1.55E-08,4.68E-08,2.11E-08,5.35E-08,1.66807E-08,1.44137E-08,4.830E-08,4.527E-08
501,1.53E-08,4.63E-08,2.04E-08,5.35E-08,1.64491E-08,1.41189E-08,4.783E-08,4.480E-08
502,1.51E-08,4.60E-08,1.99E-08,5.29E-08,1.61974E-08,1.39248E-08,4.773E-08,4.435E-08
503,1.47E-08,4.57E-08,1.95E-08,5.19E-08,1.58199E-08,1.35978E-08,4.750E-08,4.395E-08
504,1.45E-08,4.52E-08,1.91E-08,5.12E-08,1.5561E-08,1.33611E-08,4.773E-08,4.274E-08
505,1.41E-08,4.48E-08,1.87E-08,5.06E-08,1.51586E-08,1.30989E-08,4.769E-08,4.181E-08
506,1.39E-08,4.41E-08,1.82E-08,4.97E-08,1.47871E-08,1.29384E-08,4.766E-08,4.061E-08
507,1.36E-08,4.33E-08,1.78E-08,4.90E-08,1.44408E-08,1.27859E-08,4.686E-08,3.978E-08
508,1.34E-08,4.23E-08,1.76E-08,4.80E-08,1.4203E-08,1.25544E-08,4.558E-08,3.912E-08
509,1.31E-08,4.14E-08,1.71E-08,4.73E-08,1.38555E-08,1.2424E-08,4.451E-08,3.834E-08
510,1.29E-08,4.04E-08,1.67E-08,4.67E-08,1.36261E-08,1.21808E-08,4.316E-08,3.769E-08
511,1.27E-08,3.97E-08,1.63E-08,4.64E-08,1.3434E-08,1.20194E-08,4.232E-08,3.715E-08
512,1.25E-08,3.92E-08,1.59E-08,4.56E-08,1.31807E-08,1.17636E-08,4.201E-08,3.639E-08
513,1.23E-08,3.88E-08,1.56E-08,4.51E-08,1.29751E-08,1.15738E-08,4.155E-08,3.597E-08
514,1.21E-08,3.79E-08,1.51E-08,4.41E-08,1.28404E-08,1.14117E-08,4.086E-08,3.500E-08
515,1.19E-08,3.76E-08,1.48E-08,4.37E-08,1.26527E-08,1.12377E-08,3.968E-08,3.552E-08
516,1.17E-08,3.71E-08,1.46E-08,4.35E-08,1.24482E-08,1.10113E-08,3.891E-08,3.539E-08
517,1.15E-08,3.66E-08,1.42E-08,4.32E-08,1.2239E-08,1.08226E-08,3.785E-08,3.529E-08
518,1.13E-08,3.62E-08,1.41E-08,4.25E-08,1.19273E-08,1.06767E-08,3.739E-08,3.496E-08
519,1.11E-08,3.60E-08,1.38E-08,4.20E-08,1.16467E-08,1.04711E-08,3.707E-08,3.493E-08
520,1.09E-08,3.59E-08,1.37E-08,4.15E-08,1.14638E-08,1.03614E-08,3.709E-08,3.470E-08
521,1.07E-08,3.56E-08,1.34E-08,4.09E-08,1.12813E-08,1.01995E-08,3.675E-08,3.449E-08
522,1.06E-08,3.55E-08,1.31E-08,4.00E-08,1.11353E-08,1.01227E-08,3.650E-08,3.441E-08
523,1.05E-08,3.51E-08,1.28E-08,3.93E-08,1.10302E-08,9.99284E-09,3.604E-08,3.409E-08
524,1.04E-08,3.44E-08,1.25E-08,3.85E-08,1.09357E-08,9.87149E-09,3.538E-08,3.335E-08
525,1.03E-08,3.38E-08,1.22E-08,3.78E-08,1.07287E-08,9.78215E-09,3.487E-08,3.272E-08
526,1.01E-08,3.33E-08,1.18E-08,3.72E-08,1.05064E-08,9.59736E-09,3.440E-08,3.214E-08
527,9.91E-09,3.28E-08,1.16E-08,3.63E-08,1.03613E-08,9.4553E-09,3.397E-08,3.166E-08
528,9.73E-09,3.25E-08,1.14E-08,3.56E-08,1.02007E-08,9.26243E-09,3.348E-08,3.147E-08
529,9.63E-09,3.22E-08,1.12E-08,3.48E-08,1.01272E-08,9.12362E-09,3.317E-08,3.119E-08
530,9.52E-09,3.15E-08,1.09E-08,3.39E-08,1.00586E-08,8.99133E-09,3.261E-08,3.045E-08
531,9.37E-09,3.11E-08,1.08E-08,3.31E-08,9.92284E-09,8.82004E-09,3.175E-08,3.045E-08
532,9.13E-09,3.07E-08,1.07E-08,3.23E-08,9.68745E-09,8.57862E-09,3.138E-08,3.007E-08
533,8.93E-09,3.03E-08,1.06E-08,3.17E-08,9.43063E-09,8.4313E-09,3.080E-08,2.978E-08
534,8.78E-09,2.99E-08,1.04E-08,3.12E-08,9.28124E-09,8.28744E-09,3.056E-08,2.919E-08
535,8.67E-09,2.96E-08,1.03E-08,3.07E-08,9.21851E-09,8.12621E-09,3.028E-08,2.884E-08
536,8.52E-09,2.90E-08,1.01E-08,3.02E-08,9.06051E-09,7.96974E-09,2.979E-08,2.814E-08
537,8.37E-09,2.85E-08,9.93E-09,2.97E-08,8.90773E-09,7.82912E-09,2.944E-08,2.756E-08
538,8.22E-09,2.80E-08,9.65E-09,2.91E-08,8.71564E-09,7.71752E-09,2.905E-08,2.695E-08
539,8.12E-09,2.74E-08,9.38E-09,2.86E-08,8.59422E-09,7.64457E-09,2.862E-08,2.621E-08
540,8.04E-09,2.68E-08,9.17E-09,2.82E-08,8.5109E-09,7.56677E-09,2.801E-08,2.565E-08
541,7.86E-09,2.64E-08,8.94E-09,2.80E-08,8.26184E-09,7.46575E-09,2.745E-08,2.526E-08
542,7.75E-09,2.58E-08,8.75E-09,2.76E-08,8.13738E-09,7.36887E-09,2.676E-08,2.474E-08
543,7.63E-09,2.53E-08,8.58E-09,2.71E-08,7.99506E-09,7.27324E-09,2.619E-08,2.435E-08
544,7.48E-09,2.47E-08,8.47E-09,2.69E-08,7.80949E-09,7.14735E-09,2.538E-08,2.406E-08
545,7.38E-09,2.43E-08,8.21E-09,2.63E-08,7.80705E-09,6.96094E-09,2.501E-08,2.350E-08
546,7.28E-09,2.37E-08,8.01E-09,2.59E-08,7.77546E-09,6.79331E-09,2.433E-08,2.309E-08
547,7.07E-09,2.31E-08,7.85E-09,2.54E-08,7.58378E-09,6.55845E-09,2.345E-08,2.273E-08
548,6.92E-09,2.26E-08,7.75E-09,2.50E-08,7.43239E-09,6.40751E-09,2.287E-08,2.227E-08
549,6.79E-09,2.20E-08,7.69E-09,2.46E-08,7.30876E-09,6.27947E-09,2.223E-08,2.183E-08
